column,role,raw_dtype,missing_percentage,unique_count,numeric_parse_rate,recommended_action,reason
athlete_id,identifier,float64,0.0007,423003,1.0,exclude,Excluded based on its identifier role.
name,candidate_feature,object,21.7245,306752,0.0,review,High-cardinality non-numeric column requires manual review.
region,candidate_feature,object,40.6008,17,0.0,candidate,Potential AutoML feature; confirm semantic meaning.
team,candidate_feature,object,63.3197,4532,0.000293,candidate,Potential AutoML feature; confirm semantic meaning.
affiliate,candidate_feature,object,42.8103,9778,0.0,candidate,Potential AutoML feature; confirm semantic meaning.
gender,candidate_feature,object,21.7245,3,0.0,candidate,Potential AutoML feature; confirm semantic meaning.
age,candidate_feature,float64,21.7245,52,1.0,candidate,Potential AutoML feature; confirm semantic meaning.
height,candidate_feature,float64,62.2064,127,1.0,candidate,Potential AutoML feature; confirm semantic meaning.
weight,candidate_feature,float64,45.6533,386,1.0,candidate,Potential AutoML feature; confirm semantic meaning.
fran,candidate_feature,float64,86.8971,1041,1.0,candidate,Potential AutoML feature; confirm semantic meaning.
helen,candidate_feature,float64,92.8419,1064,1.0,candidate,Potential AutoML feature; confirm semantic meaning.
grace,candidate_feature,float64,90.3677,874,1.0,candidate,Potential AutoML feature; confirm semantic meaning.
filthy50,candidate_feature,float64,95.4235,2069,1.0,candidate,Potential AutoML feature; confirm semantic meaning.
fgonebad,candidate_feature,float64,92.9698,547,1.0,candidate,Potential AutoML feature; confirm semantic meaning.
run400,candidate_feature,float64,94.741,402,1.0,candidate,Potential AutoML feature; confirm semantic meaning.
run5k,candidate_feature,float64,91.4666,1779,1.0,candidate,Potential AutoML feature; confirm semantic meaning.
candj,target_component,float64,75.3112,428,1.0,exclude,Excluded based on its target_component role.
snatch,target_component,float64,77.0027,372,1.0,exclude,Excluded based on its target_component role.
deadlift,target_component,float64,72.7373,629,1.0,exclude,Excluded based on its target_component role.
backsq,target_component,float64,73.8734,568,1.0,exclude,Excluded based on its target_component role.
pullups,candidate_feature,float64,88.0361,178,1.0,candidate,Potential AutoML feature; confirm semantic meaning.
eat,candidate_feature,object,77.7942,47,0.0,candidate,Potential AutoML feature; confirm semantic meaning.
train,candidate_feature,object,74.9812,83,0.0,candidate,Potential AutoML feature; confirm semantic meaning.
background,candidate_feature,object,76.6091,43,0.0,candidate,Potential AutoML feature; confirm semantic meaning.
experience,candidate_feature,object,75.1928,84,0.0,candidate,Potential AutoML feature; confirm semantic meaning.
schedule,candidate_feature,object,76.862,134,0.0,candidate,Potential AutoML feature; confirm semantic meaning.
howlong,candidate_feature,object,74.1833,30,0.0,candidate,Potential AutoML feature; confirm semantic meaning.
