athlete_id,age,height,weight,fran,helen,grace,run5k,pullups,gender,region,bmi,age_squared,weight_height_ratio,total_lift,target_quality_reason
108078.0,35.0,73.0,190.0,363.0,,,1530.0,32.0,male,north central,25.064740101332333,1225.0,2.6027397260273974,4765.0,above_maximum
111989.0,19.0,78.0,210.0,2.0,120.0,4.0,420.0,1.0,male,central east,24.265285996055226,361.0,2.6923076923076925,16782309.0,above_maximum
112778.0,32.0,68.0,180.0,60.0,360.0,60.0,848.0,3000.0,male,latin america,27.3659169550173,1024.0,2.6470588235294117,3503.0,above_maximum
121306.0,39.0,74.0,245.0,239.0,,107.0,,34.0,male,mid atlantic,31.4527027027027,1521.0,3.310810810810811,3403.0,above_maximum
131935.0,28.0,66.0,150.0,,,,1380.0,1.0,male,south east,24.207988980716255,784.0,2.272727272727273,4408.0,above_maximum
14260.0,37.0,72.0,185.0,205.0,590.0,183.0,1353.0,55.0,male,central east,25.087770061728396,1369.0,2.5694444444444446,4410.0,above_maximum
14289.0,31.0,69.0,195.0,61.0,10.0,61.0,61.0,666.0,male,mid atlantic,28.793320730938877,961.0,2.8260869565217392,2664.0,above_maximum
151439.0,22.0,68.0,191.0,225.0,,154.0,1564.0,21.0,male,northern california,29.038278546712803,484.0,2.8088235294117645,4975.0,above_maximum
153366.0,20.0,69.0,156.0,195.0,,82.0,,300.0,male,europe,23.034656584751104,400.0,2.260869565217391,12007.0,above_maximum
157436.0,35.0,72.0,211.0,3208.0,7501.0,32.0,83.0,9972638.0,male,australia,28.613618827160494,1225.0,2.9305555555555554,5859.0,above_maximum
164631.0,30.0,72.0,214.0,,,,,,male,south central,29.020447530864196,900.0,2.9722222222222223,33554428.0,above_maximum
16518.0,44.0,70.0,185.0,10.0,66.0,3.0,60.0,300.0,male,south east,26.541836734693877,1936.0,2.642857142857143,3297.0,above_maximum
174197.0,26.0,68.0,167.0,125.0,,210.0,,,male,europe,25.389489619377162,676.0,2.4558823529411766,2900.0,above_maximum
194255.0,32.0,75.0,233.0,396.0,847.0,24.0,16397.0,4.0,male,central east,29.119822222222222,1024.0,3.1066666666666665,3044.0,above_maximum
237826.0,47.0,62.0,120.0,,,,,10.0,female,north west,21.94588969823101,2209.0,1.935483870967742,8555.0,above_maximum
242016.0,32.0,72.0,210.0,,,131.0,,,male,central east,28.47800925925926,1024.0,2.9166666666666665,3415.0,above_maximum
244497.0,25.0,60.0,153.0,,,368.0,,,female,southern california,29.8775,625.0,2.55,2700.0,above_maximum
252763.0,26.0,75.0,215.0,,,243.0,1500.0,,male,latin america,26.87022222222222,676.0,2.8666666666666667,7742.0,above_maximum
259080.0,23.0,84.0,150.0,,,,,,male,northern california,14.944727891156463,529.0,1.7857142857142858,2664.0,above_maximum
28883.0,38.0,68.0,165.0,300000.0,7200.0,10528.0,8388607.0,500000.0,female,australia,25.085423875432525,1444.0,2.426470588235294,8390604.0,above_maximum
292835.0,27.0,75.0,215.0,,,,,7000.0,male,southern california,26.87022222222222,729.0,2.8666666666666667,16787215.0,above_maximum
31560.0,41.0,70.0,205.0,256.0,508.0,,1238.0,30.0,male,central east,29.41122448979592,1681.0,2.9285714285714284,5240.0,above_maximum
3892.0,32.0,64.0,220.0,95.0,300.0,59.0,660.0,294.0,male,asia,37.7587890625,1024.0,3.4375,2844.0,above_maximum
532708.0,33.0,76.0,270.0,2161.0,3301.0,61.0,3542.0,101.0,male,southern california,32.86184210526316,1089.0,3.5526315789473686,3900.0,above_maximum
547375.0,35.0,73.0,178.0,72.0,,,756.0,9999.0,male,southern california,23.48170388440608,1225.0,2.4383561643835616,39995.0,above_maximum
56240.0,23.0,66.0,140.0,,,,,,male,south west,22.594123048668504,529.0,2.121212121212121,9700.0,above_maximum
6255.0,38.0,72.0,230.0,60.0,200.0,90.0,600.0,65.0,male,south east,31.19020061728395,1444.0,3.1944444444444446,2600.0,above_maximum
78548.0,53.0,70.0,218.0,,,271.0,1833.0,,male,south west,31.276326530612245,2809.0,3.1142857142857143,3309.0,above_maximum
8532.0,33.0,65.0,150.0,60.0,60.0,60.0,660.0,111.0,male,asia,24.958579881656803,1089.0,2.3076923076923075,4444.0,above_maximum
