variable,relative_importance,scaled_importance,percentage
gender,5093475840.0,1.0,0.4492613361342164
weight_height_ratio,1417268352.0,0.2782517079731549,0.1250077341056474
fran,1052481408.0,0.20663323849200785,0.09283232481465964
weight,1039973056.0,0.20417747892959476,0.09172904699242557
grace,1028629248.0,0.20195035380790183,0.09072848578451571
helen,594740736.0,0.11676520212963257,0.052458090722740575
pullups,450305920.0,0.08840837458453518,0.03971846449130258
bmi,193370256.0,0.03796430219250829,0.017055893128409435
height,129224440.0,0.025370580730976824,0.011398020997699654
age_squared,122331280.0,0.024017249485962025,0.010790021594332122
run5k,73953712.0,0.014519301617027008,0.006522960844201242
age,72211288.0,0.014177212235485934,0.006369273311572772
region,69479800.0,0.013640940328873731,0.006128347078276929
