validation_rank,model_id,rmse,mse,mae,rmsle,mean_residual_deviance,training_time_ms,predict_time_per_row_ms,algo
1,GBM_2_AutoML_1_20260731_161446,130.70703837556354,17084.32988091104,95.95899856912,0.1515708741128374,17084.32988091104,716,0.013278,GBM
2,GBM_3_AutoML_1_20260731_161446,130.72313421085587,17088.537817909437,96.4438254828702,0.1509130023504471,17088.537817909437,840,0.013561,GBM
3,GBM_4_AutoML_1_20260731_161446,131.00954465804986,17163.500791509563,96.2505172817036,0.1510639122890624,17163.500791509563,1556,0.017022,GBM
4,GBM_grid_1_AutoML_1_20260731_161446_model_6,131.2027658334263,17214.165762340897,96.66418117309853,0.1518912641551928,17214.165762340897,689,0.013654,GBM
5,GBM_grid_1_AutoML_1_20260731_161446_model_5,131.25233073738428,17227.17432399571,96.48441754085626,0.1515890458914106,17227.17432399571,977,0.014753,GBM
6,GBM_grid_1_AutoML_1_20260731_161446_model_7,131.34450216012004,17251.37824768978,96.8828767349742,0.1523285200191889,17251.37824768978,806,0.020061,GBM
7,DRF_1_AutoML_1_20260731_161446,131.40710997014855,17267.828550706716,96.16630916980864,0.1525696170762944,17267.828550706716,13782,0.025121,DRF
8,GBM_5_AutoML_1_20260731_161446,131.56479354725442,17309.29490113168,96.92786158981671,0.1519917957833524,17309.29490113168,618,0.011862,GBM
9,GBM_grid_1_AutoML_1_20260731_161446_model_10,131.6414269090633,17329.465278654257,96.79208361866743,0.1518541813405939,17329.465278654257,1367,0.017655,GBM
10,GBM_1_AutoML_1_20260731_161446,131.85686229265335,17386.232133663758,97.01273309038794,0.1527394110885502,17386.232133663758,1997,0.018104,GBM
11,GBM_grid_1_AutoML_1_20260731_161446_model_12,131.9559012596023,17412.359877233914,97.29146894930848,0.1522898864586975,17412.359877233914,728,0.01265,GBM
12,GBM_grid_1_AutoML_1_20260731_161446_model_4,131.96703297179877,17415.297791379824,97.19292504938817,0.1526613837589782,17415.297791379824,2125,0.022697,GBM
13,GBM_grid_1_AutoML_1_20260731_161446_model_9,132.29105938563072,17500.924393372476,97.50895553088664,0.1531918171551809,17500.924393372476,2602,0.020514,GBM
14,GBM_grid_1_AutoML_1_20260731_161446_model_1,132.37528321349387,17523.21560585271,97.68976304497798,0.1530814140379912,17523.21560585271,599,0.011263,GBM
15,GBM_grid_1_AutoML_1_20260731_161446_model_8,133.2099157285707,17744.881648412913,98.12600271065077,0.1534694350035568,17744.881648412913,2263,0.014737,GBM
16,GBM_grid_1_AutoML_1_20260731_161446_model_2,133.21267794496566,17745.61756526914,98.31329580540684,0.1531051298621883,17745.61756526914,2048,0.015608,GBM
17,XRT_1_AutoML_1_20260731_161446,133.58562817794098,17845.1200556951,97.91402259925596,0.1538863779276768,17845.1200556951,19589,0.026967,DRF
18,GBM_grid_1_AutoML_1_20260731_161446_model_11,133.6594263166012,17864.842243282947,98.38015658844996,0.1547204378371262,17864.842243282947,4228,0.021465,GBM
19,GBM_grid_1_AutoML_1_20260731_161446_model_3,136.72609021537974,18694.02374558416,101.00210992124693,0.1578576129816893,18694.02374558416,4015,0.024833,GBM
20,GLM_1_AutoML_1_20260731_161446,277.2326233309428,76857.92743895638,229.95031876346135,0.3058614448424115,76857.92743895638,627,0.00042,GLM
